method,seed,best_fx,best_x1,best_x2
Grid,0,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,0,2.478909629269392,0.08257737478440941,0.966395929730651
LHS,0,2.297774085090552,-0.028454658895066487,0.10572341712797684
Stratified,0,1.2379489179126537,0.9701009904060767,0.02471198464097038
Grid,1,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,1,1.0383354777095875,1.0038115123075118,-0.011846702900744077
LHS,1,3.256600905496157,-1.0601006243817857,-1.0417979610865933
Stratified,1,2.838049014035221,-0.09602708451694453,1.0135071977409975
Grid,2,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,2,4.530051023348417,-2.0029720978638603,-0.051239271945335396
LHS,2,2.96466760277751,-0.12542916046686425,0.002141902785525396
Stratified,2,1.9926732542372072,-0.9688848629145667,-0.06645021231262827
Grid,3,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,3,2.5392094584500136,0.0836840865297157,0.07794106753358854
LHS,3,1.3848929626206932,0.020028510803546062,0.08201695378239648
Stratified,3,2.461429937476403,-0.02789321435190728,0.9124608930343819
Grid,4,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,4,0.9294953770377035,-0.021835788437766013,-0.0653329002893841
LHS,4,0.6820143551694997,-0.007789096055753397,0.05843847498795185
Stratified,4,0.9440642862861246,-0.0437825730490336,0.05367236708772829
Grid,5,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,5,2.1344444789618144,-0.9855880237163577,-0.9695902593318593
LHS,5,1.699978140310943,-0.9753615954935597,0.05660616449089506
Stratified,5,4.168745527085228,0.11650149096885168,-0.9396375407980526
Grid,6,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,6,4.447208896968775,-0.0576824866055361,1.1161863293019811
LHS,6,2.039711414376441,-0.992051234922287,-1.0105343144010286
Stratified,6,3.5551305771650554,-0.9070040120582176,1.0148473800291553
Grid,7,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,7,6.39718993790207,-0.9593623563119307,-0.8438213710236688
LHS,7,1.37736050070707,0.04096890066851877,1.0110311960225946
Stratified,7,3.516905541838973,0.03344125498888693,0.8846551375074669
Grid,8,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,8,2.4046577147932524,0.961409003691517,0.9636898124602942
LHS,8,2.0659170811323975,1.0041174880170498,1.0122590728538867
Stratified,8,1.4461132676286113,0.9767788450929433,-0.044237660580565275
Grid,9,12.005321138250606,-1.8863157894736844,-1.8863157894736844
Random,9,1.8212520297626895,-0.9911335262066583,0.0648688641034445
LHS,9,4.483208253163864,0.8801566890077437,1.0020574152454973
Stratified,9,2.9799940952727795,-1.0332903312682498,1.0545764545377732
