m,method_label,disc_star_mc_mean,nn_min_mean,phi_q1_mean,rank_discrepancy,rank_nn_min,rank_phi1,rank_avg3
10,Additive Recurrence,0.1889033159476155,0.1598924519647738,2.1613458954256455,1,2,1,1.3333333333333333
10,Halton,0.21777826837979272,0.17411582193066066,2.1866324600522082,3,1,3,2.3333333333333335
10,Sobol,0.20365505339117917,0.15430046130638084,2.1799053013680885,2,3,2,2.3333333333333335
10,Uniform Projection (LHS),0.21978372762954912,0.15298435333637705,2.3156266826639866,4,4,4,4.0
10,Random,0.3158622802065551,0.10139730832603548,2.52535192272031,5,5,5,5.0
100,Sobol,0.029134076656808873,0.0342694574249093,2.686646224901121,2,1,1,1.3333333333333333
100,Halton,0.027198868708242136,0.027397663221060208,2.6898174172971316,1,2,2,1.6666666666666667
100,Additive Recurrence,0.041233277630181156,0.02226404177916517,3.014291771682406,3,3,5,3.6666666666666665
100,Uniform Projection (LHS),0.05039228047929789,0.016856598246805198,2.813961594651476,4,4,3,3.6666666666666665
100,Random,0.12940542049747422,0.011090675169149484,2.979371004819589,5,5,4,4.666666666666667
1000,Sobol,0.004002327041483364,0.005910901092950853,2.872911017914258,1,2,1,1.3333333333333333
1000,Additive Recurrence,0.00632777951140389,0.022264041779112,2.8862108713942463,3,1,3,2.3333333333333335
1000,Halton,0.004518568353111133,0.00505063176967473,2.879285973400234,2,3,2,2.3333333333333335
1000,Uniform Projection (LHS),0.016415668257214588,0.0015121767481212033,2.9497752157121293,4,4,4,4.0
1000,Random,0.03391002413895551,0.0004056355213518647,2.977837858343709,5,5,5,5.0
